,date,ticker_id,action,quantity,price,commission,gain,deposit,spent
0,2021-04-23,,deposit,0.0,0.0,0.0,,500.0,0.0
1,2021-04-23,ECAR.MI,buy,19.0,6.391,2.04,,,123.469
2,2021-04-23,AIAI.MI,buy,5.0,14.974,2.02,,,76.89
3,2021-04-23,BATT.MI,buy,8.0,14.948,0.0,,,119.584
4,2021-04-23,USPY.DE,buy,6.0,20.05,2.04,,,122.34000000000002
5,2021-04-23,TIT.MI,buy,100.0,0.44,0.56,,,44.56
6,2021-07-02,,deposit,0.0,0.0,0.0,,1000.0,0.0
7,2021-07-08,2B77.DE,buy,34.0,6.599,2.07,,,226.436
8,2021-07-08,ECAR.MI,buy,17.0,6.646,2.03,,,115.012
9,2021-07-08,AIAI.MI,buy,6.0,15.644,2.03,,,95.894
10,2021-07-08,BATT.MI,buy,7.0,15.2,0.0,,,106.4
11,2021-07-08,USPY.DE,buy,5.0,21.765,2.03,,,110.855
12,2021-07-08,WHEA.AS,buy,5.0,46.895,0.0,,,234.475
13,2021-09-03,,deposit,,,,,1000.0,
14,2021-09-06,QDVE.DE,buy,12.0,16.932,2.07,,,205.254
15,2021-09-06,WTEC.MI,buy,2.0,101.55,2.06,,,205.16
16,2021-09-06,TL0.DE,buy,1.0,623.4,4.31,,,627.7099999999999
17,2021-09-20,WTEC.MI,sell,2.0,99.14,2.06,196.22,,0.0
18,2021-09-20,VOLT.MI,buy,5.0,43.62,0.0,,,218.1
19,2021-09-20,YODA.MI,buy,6.0,6.671,2.01,,,42.036
20,2021-10-08,,deposit,,,,,1000.0,
21,2021-10-11,SWDA.MI,buy,4.0,72.54,2.09,,,292.25
22,2021-10-11,IWVL.MI,buy,8.0,31.78,2.08,,,256.32
23,2021-10-11,ESPO.MI,buy,6.0,34.635,2.06,,,209.87
24,2021-10-11,AIAI.MI,buy,12.0,17.67,2.06,,,214.1
25,2021-09-21,ADA-EUR,buy,306.48,2.11,0.0,,,646.6728
26,2021-09-10,BTC-EUR,buy,0.00262,39000.0,0.0,,,102.18
27,2021-09-10,ETH-EUR,buy,0.08268,2935.0,0.0,,,242.6658
28,2021-09-10,FET-EUR,buy,124.25,0.77,0.0,,,95.6725
29,2021-11-16,BTC-EUR,buy,0.0026892,52700.0,8.28,,,150.00084
30,2021-11-16,ETH-EUR,buy,0.0379,3719.0,9.05,,,150.00010000000003
31,2021-11-18,USPY.DE,buy,7,23.585,2.05,,,167.14
32,2021-11-18,SWDA.MI,buy,5,78.30,2.12,,,393.62
