Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-29,205.70005798339844,210.61007690429688,199.35841369628903,199.35841369628903,16486781373,0,0
2020-03-01,199.27151489257807,205.55126953125,194.1732635498047,198.14649963378903,16450907779,0,0
2020-03-02,197.9121551513672,208.37078857421875,196.6205444335937,206.90594482421875,18221584703,0,0
2020-03-03,206.8648223876953,208.9549865722656,198.41036987304688,200.84326171875,17762757988,0,0
2020-03-04,200.9199676513672,204.2815704345703,199.43914794921875,201.58750915527344,14875046683,0,0
2020-03-05,201.69876098632807,209.4775390625,201.69876098632807,204.29331970214844,16218570467,0,0
2020-03-06,204.2044219970703,215.79409790039065,203.8519287109375,215.76779174804688,17166396965,0,0
2020-03-07,215.9670562744141,221.48443603515625,210.4737701416016,210.7411651611328,17216715739,0,0
2020-03-08,210.6770172119141,210.6770172119141,176.16493225097656,176.25717163085938,18778800440,0,0
2020-03-09,176.8099822998047,181.8245086669922,168.29537963867188,177.22280883789062,20746499059,0,0
2020-03-10,177.9928436279297,180.7934112548828,174.5076904296875,177.40235900878906,16209983800,0,0
2020-03-11,177.40304565429688,179.24862670898438,163.40884399414062,173.0303955078125,15081372782,0,0
2020-03-12,172.91529846191406,173.20530700683594,99.41514587402344,100.44630432128906,19790030606,0,0
2020-03-13,100.75285339355467,122.90213775634766,85.10494995117188,119.55461883544922,25009753105,0,0
2020-03-14,119.89627838134766,120.6733627319336,109.8429946899414,110.64299011230467,11432356936,0,0
2020-03-15,110.58918762207033,118.13204193115234,109.33976745605467,112.26914978027344,11404284683,0,0
2020-03-16,112.07351684570312,112.07351684570312,94.18933868408205,99.10540771484376,14322842165,0,0
2020-03-17,98.92701721191406,106.88551330566406,98.92701721191406,103.46138763427734,10975586490,0,0
2020-03-18,103.38410949707033,105.16976928710938,102.31009674072266,104.80115509033205,10602058561,0,0
2020-03-19,104.79891967773438,131.7436065673828,104.70130920410156,128.14471435546875,15382515705,0,0
2020-03-20,128.1967010498047,140.5114288330078,114.9193878173828,123.3330078125,17617082489,0,0
2020-03-21,123.67176818847656,126.3273468017578,118.14352416992188,123.39734649658205,12713416542,0,0
2020-03-22,123.42748260498048,126.49386596679688,115.01007843017578,115.3222885131836,11687080938,0,0
2020-03-23,115.36421966552734,125.33396911621094,114.09478759765624,125.33396911621094,13145349831,0,0
2020-03-24,125.596435546875,131.09146118164062,123.56451416015624,128.49656677246094,13528362818,0,0
2020-03-25,128.63873291015625,130.46437072753906,123.44116973876952,125.0839385986328,12337113735,0,0
2020-03-26,125.07915496826172,125.70386505126952,122.70245361328124,125.24515533447266,10289667551,0,0
2020-03-27,125.25273895263672,126.40516662597656,119.94142150878906,119.94142150878906,10205374677,0,0
2020-03-28,120.0263214111328,120.0263214111328,113.67877197265624,117.28203582763672,10889912446,0,0
2020-03-29,117.307861328125,117.44998931884766,112.77520751953124,112.71704864501952,8919922184,0,0
2020-03-30,112.7118148803711,121.43507385253906,112.59971618652344,120.50906372070312,10736749100,0,0
2020-03-31,120.43324279785156,121.6617660522461,119.53240203857422,121.157470703125,10035193603,0,0
2020-04-01,121.17448425292967,123.83773803710938,118.75363159179688,123.83773803710938,11373154743,0,0
2020-04-02,123.92686462402344,135.4197540283203,123.92686462402344,130.96990966796875,14129731738,0,0
2020-04-03,131.0448760986328,136.1761932373047,129.43484497070312,131.51332092285156,12203075602,0,0
2020-04-04,131.6279754638672,134.54640197753906,129.68247985839844,134.40025329589844,11056608323,0,0
2020-04-05,134.43878173828125,135.2416534423828,131.5151824951172,132.8349151611328,10439183287,0,0
2020-04-06,132.89187622070312,156.71803283691406,132.83302307128906,156.59141540527344,20031655306,0,0
2020-04-07,156.6021270751953,160.94076538085938,150.6368408203125,151.53221130371094,19879164436,0,0
2020-04-08,151.6592254638672,159.56338500976562,150.99159240722656,158.9528045654297,15710159715,0,0
2020-04-09,159.06285095214844,159.08688354492188,154.66322326660156,156.33876037597656,13639433131,0,0
2020-04-10,156.35899353027344,156.49220275878906,141.51251220703125,144.84742736816406,16441218347,0,0
2020-04-11,144.963134765625,147.3801727294922,142.01303100585938,144.68112182617188,12395492210,0,0
2020-04-12,144.6960906982422,150.2472381591797,142.94775390625,147.41647338867188,13835497922,0,0
2020-04-13,147.0306396484375,147.0572052001953,138.95498657226562,143.09158325195312,15075826369,0,0
2020-04-14,143.1615447998047,146.76121520996094,142.70867919921875,143.4688262939453,13403313977,0,0
