Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-29,0.029363999143242836,0.03076699934899807,0.029027000069618225,0.02945699915289879,7493601,0,0
2020-03-01,0.029392000287771225,0.030288999900221825,0.02884499914944172,0.029218999668955803,7137521,0,0
2020-03-02,0.029207000508904457,0.031339000910520554,0.02908100001513958,0.03122900053858757,8327095,0,0
2020-03-03,0.03120500035583973,0.031261999160051346,0.03012399934232235,0.030385000631213188,6797260,0,0
2020-03-04,0.030383000150322914,0.03325600177049637,0.030292000621557236,0.032705001533031464,9258301,0,0
2020-03-05,0.03273199871182442,0.033677998930215836,0.032648999243974686,0.032683998346328735,7366130,0,0
2020-03-06,0.0326789990067482,0.033275000751018524,0.032304998487234116,0.032880999147892,8281599,0,0
2020-03-07,0.03285200148820877,0.034129999577999115,0.03117999993264675,0.03126800060272217,9455777,0,0
2020-03-08,0.03126800060272217,0.031348999589681625,0.026976000517606735,0.02675499953329563,8280832,0,0
2020-03-09,0.02672100067138672,0.027129000052809715,0.023597000166773796,0.024824999272823334,7552349,0,0
2020-03-10,0.025033999234437943,0.02611199952661991,0.024596000090241432,0.025558000430464745,7008907,0,0
2020-03-11,0.025551000609993935,0.026736000552773476,0.023554999381303787,0.025064000859856606,6626946,0,0
2020-03-12,0.0250410009175539,0.02507000043988228,0.009847000241279602,0.009922999888658524,8579689,0,0
2020-03-13,0.00992599967867136,0.012032999657094479,0.007395999971777201,0.011025000363588333,7747560,0,0
2020-03-14,0.011083999648690224,0.011649000458419323,0.009716000407934189,0.009906000457704067,3470912,0,0
2020-03-15,0.009906000457704067,0.011301999911665916,0.009677000343799591,0.010116999968886375,3848501,0,0
2020-03-16,0.01011900044977665,0.010258999653160572,0.008194999769330025,0.008821999654173851,3463626,0,0
2020-03-17,0.008834999985992908,0.010150999762117863,0.008816000074148178,0.009711000137031078,5248555,0,0
2020-03-18,0.00967399962246418,0.009816999547183514,0.00917499978095293,0.009739999659359455,4235218,0,0
2020-03-19,0.009739999659359455,0.012387000024318695,0.009726000018417835,0.011928999796509743,6105654,0,0
2020-03-20,0.011924000456929207,0.0142639996483922,0.011234999634325504,0.012020000256597996,6048367,0,0
2020-03-21,0.012066000141203403,0.012715999968349934,0.011412999592721462,0.012505000457167625,4177905,0,0
2020-03-22,0.012505000457167625,0.012830999679863453,0.01104199979454279,0.011087000370025635,3768287,0,0
2020-03-23,0.011087000370025635,0.012330000288784504,0.010886999778449535,0.012164999730885029,4500541,0,0
2020-03-24,0.01218899991363287,0.013244000263512135,0.01218899991363287,0.012676999904215336,4970335,0,0
