,ticker_id,ticker_name,isin,instrument,risk,fee
0,AIAI.MI,L&G Artificial Intelligence UCITS ETF,IE00BK5BCD43,ETF,6.0,0.49
1,BATT.MI,L&G Battery Value-Chain UCITS ETF,IE00BF0M2Z96,ETF,6.0,0.49
2,ECAR.MI,iShares Elctrc Vehcls andDrivngTch UCITS ETF USD A,IE00BGL86Z12,ETF,6.0,0.4
3,USPY.DE,L&G Cyber Security UCITS ETF,IE00BYPLS672,ETF,6.0,0.69
4,TIT.MI,Telecom Italia,IT0003497168,Stock,,
5,2B77.DE,iShares Ageing Population UCITS ETF USD (Acc),IE00BYZK4669,ETF,6.0,0.4
6,WHEA.AS,SPDR MSCI World Health Care UCITS ETF,IE00BYTRRB94,ETF,5.0,0.3
7,QDVE.DE,iShares S&P 500 Inf Tech Sector UCITS ETF USD Acc,IE00B3WJKG14,ETF,6.0,0.15
8,WTEC.MI,SPDR MSCI World Technology UCITS ETF,IE00BYTRRD19,ETF,6.0,0.3
9,TL0.DE,Tesla Inc,US88160R1014,Stock,,
10,VOLT.MI,WisdomTree Battery Solutions UCITS ETF USD Acc,IE00BKLF1R75,ETF,7.0,0.4
11,YODA.MI,PROCURE SPACE UCITS ET,IE00BLH3CV30,ETF,7.0,0.75
12,SWDA.MI,iShares Core MSCI World UCITS ETF USD,IE00B4L5Y983,ETF,5.0,0.3
13,IWVL.MI,iShares Edge MSCI World Value Factor UCITS ETF,IE00BP3QZB59,ETF,5.0,0.2
14,ESPO.MI,VanEck Vectors Video Gaming and eSports UCITS ETF,IE00BP3QZB59,ETF,6.0,0.55
